key,length,raw_angle,x0,y0,date,time,cam_angle
20160816_1600_1/0,50,0.198183688,89.5,49,16-08-16,16:00:01:723,-0.198183688
20160816_1600_1/1,58,0.285312293,57.3,60.2,16-08-16,16:00:02:051,-0.285312293
20160816_1600_1/2,57,0.290183914,56,58.6,16-08-16,16:00:02:067,-0.290183914
20160816_1600_1/6,42,0.3370601,86.2,49.3,16-08-16,16:00:04:114,-0.3370601
20160816_1600_1/8,29,3.521319804,63.5,55,16-08-16,16:00:05:224,-3.521319804
20160816_1600_1/9,58,0.290308185,87,47.8,16-08-16,16:00:06:224,-0.290308185
20160816_1600_1/10,66,0.466377339,62.6,48.2,16-08-16,16:00:07:412,-0.466377339
20160816_1600_1/11,50,5.629385621,49.8,46.8,16-08-16,16:00:08:209,-5.629385621
20160816_1600_1/12,35,0.364784362,86.3,49.8,16-08-16,16:00:08:599,-0.364784362
20160816_1600_1/14,58,0.098559977,83.7,53,16-08-16,16:00:10:912,-0.098559977
20160816_1600_1/15,45,1.247714246,123,94,16-08-16,16:00:11:975,-1.247714246
20160816_1600_1/16,57,0.298043486,83.2,50,16-08-16,16:00:13:037,-0.298043486
20160816_1600_1/17,54,0.289295608,84.9,48,16-08-16,16:00:13:068,-0.289295608
20160816_1600_1/19,25,0.526058433,74.5,66.2,16-08-16,16:00:14:959,-0.526058433
20160816_1600_1/20,49,0.132803095,88.8,54,16-08-16,16:00:15:272,-0.132803095
20160816_1600_1/21,46,0.233266958,88.8,50.3,16-08-16,16:00:17:491,-0.233266958
20160816_1600_1/22,45,0.266424756,88.2,51.8,16-08-16,16:00:17:506,-0.266424756
20160816_1600_1/26,80,0.13529928,89.6,55.6,16-08-16,16:00:19:772,-0.13529928
20160816_1600_1/36,49,5.708903183,91,66.9,16-08-16,16:00:35:758,-5.708903183
20160816_1600_1/37,39,5.670323816,93.6,67.7,16-08-16,16:00:35:851,-5.670323816
20160816_1600_1/42,36,0.549172057,81.4,109,16-08-16,16:00:41:836,-0.549172057
20160816_1600_1/47,23,6.100629356,79.8,72.2,16-08-16,16:00:50:352,-6.100629356
20160816_1600_1/48,42,5.898759293,82,71.6,16-08-16,16:00:54:368,-5.898759293
20160816_1601_1/2,26,6.219610179,80.5,97.5,16-08-16,16:01:09:332,-6.219610179
20160816_1601_1/5,60,5.266385471,66.6,40.6,16-08-16,16:01:12:245,-5.266385471
20160816_1601_1/6,77,1.81422501,102.8,77.2,16-08-16,16:01:14:095,-1.81422501
20160816_1601_1/8,32,0.752570748,84,103.8,16-08-16,16:01:18:159,-0.752570748
20160816_1601_1/9,31,3.911411478,84.3,101.8,16-08-16,16:01:18:174,-3.911411478
20160816_1601_1/7,27,5.152146556,82,48.3,16-08-16,16:01:18:190,-5.152146556
20160816_1601_1/10,34,0.835807452,79.6,106,16-08-16,16:01:19:725,-0.835807452
20160816_1601_1/15,119,4.931058709,79.5,36,16-08-16,16:01:21:738,-4.931058709
20160816_1601_1/16,126,4.811248684,77.2,43.7,16-08-16,16:01:24:957,-4.811248684
20160816_1601_1/20,70,2.003322454,123.8,99.8,16-08-16,16:01:33:395,-2.003322454
20160816_1601_1/21,111,4.806438014,84.3,37.7,16-08-16,16:01:33:786,-4.806438014
20160816_1601_1/22,90,5.122920301,117.8,88.8,16-08-16,16:01:36:833,-5.122920301
20160816_1601_1/23,60,4.915657478,95.9,36.4,16-08-16,16:01:37:958,-4.915657478
20160816_1601_1/26,51,5.828889394,84.5,85,16-08-16,16:01:48:761,-5.828889394
20160816_1601_0/3,25,3.002143026,135.3,106,16-08-16,16:01:56:800,0.139449627
20160816_1602_1/0,66,4.94772036,67.1,69.6,16-08-16,16:02:02:864,-4.94772036
20160816_1602_1/2,53,4.924221798,79.6,74.4,16-08-16,16:02:04:947,-4.924221798
20160816_1602_1/4,107,4.602844895,62,73,16-08-16,16:02:08:329,-4.602844895
20160816_1602_0/0,90,6.116984754,99.5,71.5,16-08-16,16:02:08:377,-2.9753921
20160816_1602_1/5,26,4.718343934,60.8,97.2,16-08-16,16:02:09:943,-4.718343934
20160816_1602_1/6,24,4.70793761,58.6,97.3,16-08-16,16:02:09:959,-4.70793761
20160816_1602_1/7,71,4.739459787,60,57.9,16-08-16,16:02:12:898,-4.739459787
20160816_1602_1/8,67,4.737720014,60.9,56.6,16-08-16,16:02:12:929,-4.737720014
20160816_1602_1/9,38,1.043135655,83.3,89.8,16-08-16,16:02:15:882,-1.043135655
