20160814_1001_1/1,"(125, 125)","(199, 63)",39.9575489308
20160814_1001_1/2,"(125, 125)","(183, 109)",15.4221613187
20160814_1001_1/3,"(125, 125)","(195, 59)",43.3153156821
20160814_1001_1/4,"(125, 125)","(202, 120)",3.71528910543
20160814_1001_1/5,"(125, 125)","(210, 68)",33.8453402611
20160814_1001_1/6,"(125, 125)","(185, 96)",25.7960264945
20160814_1002_0/0,"(125, 125)","(199, 58)",42.1578621163
20160814_1002_0/2,"(125, 125)","(191, 63)",43.2100893918
20160814_1002_0/3,"(125, 125)","(137, 29)",82.8749836511
20160814_1002_0/4,"(125, 125)","(195, 44)",49.1665048855
20160814_1002_0/5,"(125, 125)","(191, 65)",42.2736890061
20160814_1002_1/0,"(125, 125)","(208, 52)",41.3322119445
20160814_1002_1/1,"(125, 125)","(146, 214)",-76.7236029577
20160814_1002_1/10,"(125, 125)","(197, 47)",47.2906100426
20160814_1002_1/12,"(125, 125)","(220, 79)",25.836754224
20160814_1002_1/13,"(125, 125)","(228, 127)",-1.1123996163
20160814_1002_1/14,"(125, 125)","(199, 64)",39.4995885298
20160814_1002_1/15,"(125, 125)","(221, 133)",-4.76364169073
20160814_1002_1/17,"(125, 125)","(215, 102)",14.3354354195
20160814_1002_1/18,"(125, 125)","(213, 74)",30.0942414764
20160814_1002_1/19,"(125, 125)","(216, 107)",11.1887999283
20160814_1002_1/2,"(125, 125)","(232, 145)",-10.5873213182
20160814_1002_1/20,"(125, 125)","(222, 138)",-7.63333058723
20160814_1002_1/21,"(125, 125)","(201, 60)",40.5391517415
20160814_1002_1/22,"(125, 125)","(205, 90)",23.6293777307
20160814_1002_1/23,"(125, 125)","(229, 95)",16.0908163489
20160814_1002_1/24,"(125, 125)","(197, 94)",23.2945632539
20160814_1002_1/25,"(125, 125)","(184, 63)",46.4202655464
20160814_1002_1/26,"(125, 125)","(189, 93)",26.5650511771
20160814_1002_1/27,"(125, 125)","(188, 111)",12.5288077092
20160814_1002_1/3,"(125, 125)","(139, 232)",-82.5457011873
20160814_1002_1/4,"(125, 125)","(223, 86)",21.7005367393
20160814_1002_1/5,"(125, 125)","(221, 91)",19.5024485067
20160814_1002_1/6,"(125, 125)","(219, 108)",10.2511987508
20160814_1002_1/7,"(125, 125)","(202, 97)",19.9831065219
20160814_1002_1/8,"(125, 125)","(45, 237)",-125.537677792
20160814_1002_1/9,"(125, 125)","(71, 207)",-123.366366001
20160814_1003_0/0,"(125, 125)","(145, 47)",75.6186054089
20160814_1003_0/1,"(125, 125)","(151, 49)",71.1139126303
20160814_1003_1/0,"(125, 125)","(192, 146)",-17.4027041314
20160814_1003_1/1,"(125, 125)","(219, 71)",29.8759926917
20160814_1003_1/10,"(125, 125)","(123, 219)",-91.2188752351
20160814_1003_1/11,"(125, 125)","(60, 174)",-142.989326766
20160814_1003_1/12,"(125, 125)","(93, 224)",-107.912509386
20160814_1003_1/13,"(125, 125)","(49, 201)",-135.0
20160814_1003_1/14,"(125, 125)","(180, 67)",46.5207696611
20160814_1003_1/15,"(125, 125)","(120, 207)",-93.4893249058
20160814_1003_1/16,"(125, 125)","(219, 100)",14.8934729588
20160814_1003_1/17,"(125, 125)","(69, 180)",-135.51616423
20160814_1003_1/18,"(125, 125)","(196, 100)",19.3978124486
20160814_1003_1/19,"(125, 125)","(107, 195)",-104.420773128
20160814_1003_1/2,"(125, 125)","(198, 99)",19.6040881508
20160814_1003_1/20,"(125, 125)","(83, 175)",-130.030259272
20160814_1003_1/21,"(125, 125)","(105, 206)",-103.869686439
